44.31.69.0/24,US,US-MCI,Kansas,
2407:9240:2600::/40,US,US-MCI,Kansas,
103.167.250.0/24,TW,TW-TNN,Taiwan,
103.167.251.0/24,TW,TW-TPE,Taiwan,
103.129.145.0/24,TW,TW-TPE,Taiwan,
2001:df6:c480::/48,TW,TW-TNN,Taiwan,
2a06:a005:160::/44,TW,TW-TNN,Taiwan,
